index,review_count,positive_count,positive_sum,negative_count,negative_sum
7312,3,3,0.7301461325270849,0,0.0
7313,234,212,95.95672131832502,0,0.0
7314,0,0,0.0,0,0.0
7315,0,0,0.0,0,0.0
7316,12,12,6.016964285714286,0,0.0
7317,2,2,0.8773333333333335,0,0.0
7318,0,0,0.0,0,0.0
7319,46,36,15.644677579365082,2,-0.4583333333333333
7320,310,293,126.77066011688413,3,-0.2049642857142857
7321,9,8,3.4710633608815433,0,0.0
7322,0,0,0.0,0,0.0
7323,1,1,0.19763888888888886,0,0.0
7324,0,0,0.0,0,0.0
7325,17,17,7.397676605801606,0,0.0
7326,5,4,2.0676666666666668,1,-0.12638888888888888
7327,0,0,0.0,0,0.0
7328,3,2,0.763095238095238,0,0.0
7329,0,0,0.0,0,0.0
7330,4,4,1.4825131118881119,0,0.0
7331,140,133,62.24558791285944,1,-0.24999999999999997
7332,0,0,0.0,0,0.0
7333,0,0,0.0,0,0.0
7334,2,2,0.5230250444952962,0,0.0
7335,138,114,46.60602005608508,1,-0.8749999999999998
7336,0,0,0.0,0,0.0
7337,0,0,0.0,0,0.0
7338,5,5,2.3932579365079363,0,0.0
7339,0,0,0.0,0,0.0
7340,7,4,1.8050425170068027,0,0.0
7341,0,0,0.0,0,0.0
7342,225,209,99.38303323264743,1,-0.03248299319727891
7343,3,3,1.8135227272727275,0,0.0
7344,0,0,0.0,0,0.0
7345,18,18,7.2504389499389506,0,0.0
7346,0,0,0.0,0,0.0
7347,38,31,15.877222703222703,1,-0.056249999999999994
7348,3,3,1.55,0,0.0
7349,0,0,0.0,0,0.0
7350,0,0,0.0,0,0.0
7351,64,57,24.83930204967389,0,0.0
7352,8,8,2.9701755189255192,0,0.0
7353,0,0,0.0,0,0.0
7354,22,22,10.463713820292766,0,0.0
7355,0,0,0.0,0,0.0
7356,2,2,0.638,0,0.0
7357,301,272,114.82575866643701,4,-0.4609259259259259
7358,3,3,1.648459595959596,0,0.0
7359,0,0,0.0,0,0.0
7360,13,12,5.698171699993128,0,0.0
7361,6,6,2.383537414965986,0,0.0
7362,0,0,0.0,0,0.0
7363,51,43,16.526514117754353,3,-0.2878246753246753
7364,17,16,7.044108494679922,1,-0.022777777777777775
7365,0,0,0.0,0,0.0
7366,13,13,6.170965188779273,0,0.0
7367,12,9,3.8243326118326118,1,-0.10416666666666666
7368,55,50,20.64327365691387,1,-0.02340277777777777
7369,53,36,17.849225965007214,1,-1.0
7370,0,0,0.0,0,0.0
7371,58,51,24.063202541073228,1,-0.24999999999999997
7372,223,199,84.02569899820276,4,-0.5457070707070706
7373,0,0,0.0,0,0.0
7374,0,0,0.0,0,0.0
7375,0,0,0.0,0,0.0
7376,45,40,18.575471770400082,1,-0.4375
7377,82,66,27.98185077034894,1,-0.32749999999999996
7378,0,0,0.0,0,0.0
7379,115,108,49.018999026629245,5,-0.5404761904761904
7380,0,0,0.0,0,0.0
7381,59,51,23.761981292264384,1,-0.2625
7382,162,145,63.969060503217406,0,0.0
7383,81,74,28.250090638057262,2,-0.6805555555555556
7384,53,41,20.07587712555567,1,-0.40625
7385,118,108,47.99478155366554,0,0.0
7386,13,13,5.991334028308293,0,0.0
7387,101,89,37.529638520160404,3,-0.26361111111111113
7388,51,46,19.917921870189048,0,0.0
7389,13,9,3.798650524670262,2,-0.22083333333333335
7390,45,41,16.79633182416279,0,0.0
7391,0,0,0.0,0,0.0
7392,0,0,0.0,0,0.0
7393,5,5,1.9094572711239377,0,0.0
7394,19,19,8.704749176389358,0,0.0
7395,0,0,0.0,0,0.0
7396,255,250,115.74445352196325,2,-0.2438690476190476
7397,45,45,21.796742722555223,0,0.0
7398,15,13,4.2346848845598855,0,0.0
7399,0,0,0.0,0,0.0
7400,6,5,2.1809960575139145,0,0.0
7401,36,33,14.795116135848279,1,-0.4
7402,0,0,0.0,0,0.0
